unix,date,symbol,open,high,low,close,volume,tradecount
1630540000000,2021-09-02 00:00:00,BTC/USDT,48842.93,50420,48631.2,49299.14,17997935761,3429775
1630450000000,2021-09-01 00:00:00,BTC/USDT,47150.32,49160.79,46550.99,48842.94,16740393337,3281474
1630370000000,2021-08-31 00:00:00,BTC/USDT,47024.69,48298,46731.03,47150.32,17331998427,3297842
1630280000000,2021-08-30 00:00:00,BTC/USDT,48795.42,48916.25,46876.49,47024.7,16883434689,3200639
1630200000000,2021-08-29 00:00:00,BTC/USDT,48931.99,49769.2,47741.31,48795.41,15338512478,2921430
1630110000000,2021-08-28 00:00:00,BTC/USDT,49082.13,49333,48395.65,48931.99,10891802523,2305599
1630020000000,2021-08-27 00:00:00,BTC/USDT,46854.22,49220,46359.97,49083.98,19245054650,3627060
1629940000000,2021-08-26 00:00:00,BTC/USDT,48992.65,49380,46280,46853.06,22473235583,4109457
1629850000000,2021-08-25 00:00:00,BTC/USDT,47719.37,49297.8,47130.57,48992.65,18737744220,3410366
1629760000000,2021-08-24 00:00:00,BTC/USDT,49523.23,49888.88,47600,47719.36,19450210328,3585585
1629680000000,2021-08-23 00:00:00,BTC/USDT,49273.28,50600,49075.01,49523.91,17745733776,3345792
1629590000000,2021-08-22 00:00:00,BTC/USDT,48846.11,49556.2,48075.81,49273.28,14395479953,2925925
1629500000000,2021-08-21 00:00:00,BTC/USDT,49332.99,49833,48250,48848.29,17049427213,3387346
1629420000000,2021-08-20 00:00:00,BTC/USDT,46772,49500,46650,49332.74,19242378733,3984145
1629330000000,2021-08-19 00:00:00,BTC/USDT,44714.09,47100,43938.38,46772,19883402233,4289786
1629240000000,2021-08-18 00:00:00,BTC/USDT,44704.85,46050,44227.32,44714.09,17865646755,4068589
1629160000000,2021-08-17 00:00:00,BTC/USDT,45926.23,47194,44412.01,44704.84,21777823959,4617189
1629070000000,2021-08-16 00:00:00,BTC/USDT,47006.02,48074.23,45682.03,45926.23,19341043031,4045954
1628990000000,2021-08-15 00:00:00,BTC/USDT,47083.75,47388.75,45480,47006.02,17184325859,3856811
1628900000000,2021-08-14 00:00:00,BTC/USDT,47792.52,48300,46000,47083.74,17592436753,3874327
1628810000000,2021-08-13 00:00:00,BTC/USDT,44385.09,47980.69,44208.88,47792.52,20268188739,4397367
1628730000000,2021-08-12 00:00:00,BTC/USDT,45522.13,46226.67,43800,44385.09,21002449071,4731727
1628640000000,2021-08-11 00:00:00,BTC/USDT,45589.99,46754.27,45354,45522.12,18016171890,3948283
1628550000000,2021-08-10 00:00:00,BTC/USDT,46259.7,46800,44670.05,45589.99,20993395643,4679043
1628470000000,2021-08-09 00:00:00,BTC/USDT,43787.71,46483,42785,46259.7,28215980002,6262199
1628380000000,2021-08-08 00:00:00,BTC/USDT,44601.11,45350,43265,43787.71,24546996022,5639557
1628290000000,2021-08-07 00:00:00,BTC/USDT,42825.43,44753.01,42395.2,44601.11,25434912724,5973520
1628210000000,2021-08-06 00:00:00,BTC/USDT,40882.39,43400,39849.82,42825.43,27084444322,6108565
1628120000000,2021-08-05 00:00:00,BTC/USDT,39731.31,41350,37291,40882.4,29293280084,6512116
1628040000000,2021-08-04 00:00:00,BTC/USDT,38201.33,39975.32,37500,39731.31,18566815768,4413240
1627950000000,2021-08-03 00:00:00,BTC/USDT,39147.47,39774.93,37600,38203.26,19870811472,4801837
1627860000000,2021-08-02 00:00:00,BTC/USDT,39846.78,40450,38658,39147.48,17868768676,4318497
1627780000000,2021-08-01 00:00:00,BTC/USDT,41448.1,42614.98,39350.4,39846.78,20123271134,4662543
1627690000000,2021-07-31 00:00:00,BTC/USDT,42202.6,42494,41030.19,41448.11,15885174209,3846882
1627600000000,2021-07-30 00:00:00,BTC/USDT,40012.89,42316.6,38320,42203.25,22382077431,5291572
1627520000000,2021-07-29 00:00:00,BTC/USDT,40003.08,40665,39203.83,40012.9,18494873370,4559744
1627430000000,2021-07-28 00:00:00,BTC/USDT,39448.06,40894,38753,40003.08,29337785847,6959669
1627340000000,2021-07-27 00:00:00,BTC/USDT,37218.09,39546.34,36384.31,39442.33,25492243891,5881831
1627260000000,2021-07-26 00:00:00,BTC/USDT,35370.67,48168.6,35185.49,37218.09,44475672629,9156876
1627170000000,2021-07-25 00:00:00,BTC/USDT,34230,35400,33812,35370.66,13893942171,3362822
1627080000000,2021-07-24 00:00:00,BTC/USDT,33631.74,34471,33379.81,34230,12732082909,3121090
1627000000000,2021-07-23 00:00:00,BTC/USDT,32268.12,33650,31970.82,33634.46,13173247546,3284595
1626910000000,2021-07-22 00:00:00,BTC/USDT,32120,32583.48,31700,32268.11,12754500029,3291672
1626830000000,2021-07-21 00:00:00,BTC/USDT,29775.89,32883.9,29472.41,32120,24708991011,5398212
1626740000000,2021-07-20 00:00:00,BTC/USDT,30823.62,31050,29242.24,29775.9,17961608394,4318098
1626650000000,2021-07-19 00:00:00,BTC/USDT,31765.23,31890,30358.77,30823.62,15114690214,3696993
1626570000000,2021-07-18 00:00:00,BTC/USDT,31496.65,32435.93,31075.1,31767,13084053081,3159782
1626480000000,2021-07-17 00:00:00,BTC/USDT,31382.96,31945,31150.02,31496.65,13327067039,3259417
1626390000000,2021-07-16 00:00:00,BTC/USDT,31865.53,32245,31018.59,31382.95,16377889184,3914018
